n,matSqrTime,corApproxTime,loopingTime,matMulTime
1,0,1,0,1,
2,1,0,0,1,
3,1,0,1,0,
4,0,0,1,0,
5,0,1,0,1,
7,1,0,1,0,
9,0,1,0,1,
11,1,0,1,0,
13,1,1,0,1,
15,1,0,1,0,
18,1,0,1,0,
21,0,1,0,1,
24,0,1,0,1,
27,1,1,0,1,
31,1,0,1,0,
35,1,0,0,1,
40,0,1,0,1,
45,1,1,0,1,
51,1,0,1,1,
57,0,1,0,1,
64,1,0,1,0,
71,0,1,0,1,
79,0,1,0,1,
88,1,0,1,0,
98,1,0,1,0,
109,0,1,1,0,
121,0,1,0,1,
134,1,0,1,0,
148,1,0,1,0,
164,0,1,0,1,
181,0,1,0,1,
200,1,0,1,0,
221,0,1,0,1,
244,1,0,1,1,
269,1,0,1,0,
297,0,1,0,1,
328,0,1,0,1,
362,0,1,0,1,
399,0,1,0,1,
440,1,0,1,0,
485,0,1,0,1,
535,1,1,0,1,
590,0,0,1,0,
650,0,1,0,1,
716,1,0,1,0,
789,1,0,1,0,
869,1,0,0,1,
957,0,1,1,0,
1054,0,1,0,1,
1160,0,1,0,1,
1277,1,0,1,0,
1406,0,1,0,1,
1548,0,1,0,1,
1704,1,0,1,1,
1875,1,1,0,1,
2064,1,0,1,0,
2271,0,1,0,1,
2499,0,1,0,1,
2750,1,0,1,0,
3026,1,0,1,0,
3330,0,0,1,1,
3664,1,0,1,0,
4031,1,0,1,1,
4435,0,1,0,1,
4880,1,1,0,1,
5369,0,1,1,0,
5907,0,1,0,1,
6499,0,1,0,1,
7150,1,0,1,1,
7866,0,1,1,1,
8654,0,1,0,1,
9520,0,1,0,1,
10473,0,1,1,1,
11521,1,0,1,1,
12674,0,1,0,1,
13942,1,0,1,1,
15337,1,0,1,1,
16872,1,1,0,2,
18560,1,1,0,2,
20417,1,0,1,1,
22460,0,1,1,1,
24707,1,1,0,2,
27179,0,1,1,2,
29898,1,0,1,2,
32889,1,0,2,2,
36179,1,0,1,3,
39798,0,1,1,2,
43779,1,1,0,3,
48158,1,0,1,3,
52975,0,1,1,3,
58274,0,1,2,3,
64102,0,1,2,4,
70513,1,1,1,4,
77565,1,1,1,4,
85323,1,1,1,5,
93856,0,1,2,4,
103243,0,1,2,5,
113568,1,1,1,7,
124926,0,2,2,7,
137420,1,2,1,7,
151163,0,2,3,7,
166280,1,2,1,8,
182909,1,2,2,9,
201201,1,1,2,11,
221322,0,3,2,13,
243455,1,2,3,11,
267802,1,2,3,15,
294583,0,3,3,13,
324042,1,2,3,15,
356447,1,3,3,23,
392093,0,5,4,18,
431303,1,3,4,22,
474434,1,3,4,22,
521878,0,4,5,26,
574067,1,5,5,27,
631475,0,5,7,44,
694624,1,7,6,33,
764087,0,7,6,41,
840497,0,7,7,43,
924548,1,7,7,44,
1017004,0,8,9,49,
1118705,0,8,9,53,
1230577,0,10,9,58,
1353636,1,13,14,69,
1489001,1,10,12,69,
1637902,1,12,14,75,
1801693,0,13,14,83,
1981863,0,14,15,88,
2180050,1,14,20,104,
2398056,1,18,19,114,
2637863,0,19,21,123,
2901650,1,19,22,148,
3191816,1,22,25,167,
3510999,1,25,27,166,
3862100,0,27,31,175,
4248311,1,29,32,205,
4673143,1,31,36,226,
5140458,1,38,43,243,
5654505,1,40,44,266,
6219957,1,45,48,290,
6841954,1,47,50,316,
7526150,1,50,58,354,
8278766,0,58,64,389,
9106644,1,65,67,424,
10017309,0,68,74,461,
11019041,1,75,79,511,
12120946,0,84,89,551,
13333042,1,92,98,599,
14666347,0,101,105,675,
16132983,0,109,120,759,
17746282,1,121,132,806,
19520911,0,132,142,887,
21473003,1,142,158,1006,
23620304,1,158,168,1073,
25982335,1,172,193,1228,
28580570,1,192,216,1336,
31438628,1,217,233,1476,
34582492,1,238,258,1643,
38040742,1,258,284,1721,
41844817,0,274,294,1860,
46029300,0,304,325,2036,
50632231,0,329,358,2249,
55695455,1,360,394,2451,
61265002,1,412,465,2838,
67391503,1,459,523,3174,
74130654,1,507,542,3359,
81543720,0,535,575,3831,
89698093,1,621,642,3975,
98667903,0,642,695,4368,
108534694,1,735,783,4862,
119388164,1,846,871,5438,
131326981,0,869,926,5875,
144459680,1,948,1014,6425,
158905649,1,1041,1131,7114,
174796215,1,1148,1256,7794,
192275838,1,1265,1362,8558,
211503423,1,1377,1494,9444,
232653766,1,1526,1696,10897,
255919144,1,1757,1942,
281511059,1,1924,2073,
309662166,1,2046,2289,
340628384,0,2283,2549,
374691223,0,2584,2710,
412160346,1,2721,2940,
453376382,0,3000,3267,
498714021,1,3275,3575,
548585424,1,3590,3942,
603443967,1,3946,4309,
663788365,1,4377,4680,
730167203,0,4739,5218,
803183924,1,5380,5788,
883502317,0,6078,6519,
971852550,0,6591,7014,
1069037806,3,7086,7688,
1175941588,1,7956,8432,
1293535748,1,8541,9173,
1422889324,2,9293,10175,
1565178257,1,10619,
